# ZZ, ZT, RHO, THBAR, PBAR, PIBAR, QVBAR, Q1LS, Q2LS, RHOZ
1.020000000000000000e+04 1.010000000000000000e+04 4.079999999999999738e-01 3.451139999999999759e+02 2.810793600000000151e+04 6.959999999999999520e-01 2.900000000000000017e-04 -2.489999999999999877e-05 2.570000000000000017e-09 4.030000000000000249e-01
1.040000000000000000e+04 1.030000000000000000e+04 3.990000000000000213e-01 3.456970000000000027e+02 2.731709000000000015e+04 6.899999999999999467e-01 2.599999999999999772e-04 -2.269999999999999950e-05 2.260000000000000054e-09 3.940000000000000169e-01
1.060000000000000000e+04 1.050000000000000000e+04 3.900000000000000133e-01 3.462850000000000250e+02 2.654354899999999907e+04 6.850000000000000533e-01 2.300000000000000070e-04 -2.059999999999999928e-05 1.989999999999999952e-09 3.860000000000000098e-01
1.080000000000000000e+04 1.070000000000000000e+04 3.810000000000000053e-01 3.468779999999999859e+02 2.578704699999999866e+04 6.790000000000000480e-01 2.000000000000000096e-04 -1.879999999999999957e-05 1.759999999999999919e-09 3.770000000000000018e-01
1.100000000000000000e+04 1.090000000000000000e+04 3.729999999999999982e-01 3.474759999999999991e+02 2.504731200000000172e+04 6.730000000000000426e-01 1.700000000000000122e-04 -1.709999999999999891e-05 1.540000000000000059e-09 3.689999999999999947e-01
1.120000000000000000e+04 1.110000000000000000e+04 3.649999999999999911e-01 3.479789999999999850e+02 2.432398600000000079e+04 6.680000000000000382e-01 1.499999999999999869e-04 -1.529999999999999920e-05 1.319999999999999991e-09 3.609999999999999876e-01
1.140000000000000000e+04 1.130000000000000000e+04 3.569999999999999840e-01 3.484789999999999850e+02 2.361670699999999852e+04 6.620000000000000329e-01 1.310000000000000129e-04 -1.360000000000000023e-05 1.110000000000000096e-09 3.529999999999999805e-01
1.160000000000000000e+04 1.150000000000000000e+04 3.489999999999999769e-01 3.489830000000000041e+02 2.292521700000000055e+04 6.560000000000000275e-01 1.129999999999999955e-04 -1.189999999999999957e-05 9.049999999999999767e-10 3.449999999999999734e-01
1.180000000000000000e+04 1.170000000000000000e+04 3.410000000000000253e-01 3.494780000000000086e+02 2.224926199999999881e+04 6.510000000000000231e-01 9.660000000000000346e-05 -1.069999999999999920e-05 7.619999999999999536e-10 3.370000000000000218e-01
1.200000000000000000e+04 1.190000000000000000e+04 3.330000000000000182e-01 3.499529999999999745e+02 2.158856599999999889e+04 6.450000000000000178e-01 8.469999999999999881e-05 -9.720000000000000111e-06 6.510000000000000267e-10 3.290000000000000147e-01
1.220000000000000000e+04 1.210000000000000000e+04 3.250000000000000111e-01 3.504320000000000164e+02 2.094286899999999878e+04 6.400000000000000133e-01 7.289999999999999660e-05 -8.770000000000000736e-06 5.439999999999999826e-10 3.220000000000000084e-01
1.240000000000000000e+04 1.230000000000000000e+04 3.180000000000000049e-01 3.509150000000000205e+02 2.031193899999999849e+04 6.340000000000000080e-01 6.109999999999999438e-05 -7.829999999999999572e-06 4.379999999999999867e-10 3.140000000000000013e-01
1.260000000000000000e+04 1.250000000000000000e+04 3.109999999999999987e-01 3.513940000000000055e+02 1.969553499999999985e+04 6.290000000000000036e-01 5.190000000000000115e-05 -6.890000000000000101e-06 3.349999999999999805e-10 3.069999999999999951e-01
1.280000000000000000e+04 1.270000000000000000e+04 3.029999999999999916e-01 3.518679999999999950e+02 1.909341400000000067e+04 6.229999999999999982e-01 4.539999999999999900e-05 -5.969999999999999592e-06 2.350000000000000157e-10 2.999999999999999889e-01
1.300000000000000000e+04 1.290000000000000000e+04 2.959999999999999853e-01 3.523460000000000036e+02 1.850534200000000055e+04 6.169999999999999929e-01 3.899999999999999929e-05 -5.339999999999999695e-06 1.979999999999999883e-10 2.929999999999999827e-01
1.320000000000000000e+04 1.310000000000000000e+04 2.889999999999999791e-01 3.528279999999999745e+02 1.793109400000000096e+04 6.119999999999999885e-01 3.259999999999999958e-05 -4.719999999999999702e-06 1.630000000000000058e-10 2.859999999999999765e-01
1.340000000000000000e+04 1.330000000000000000e+04 2.819999999999999729e-01 3.533210000000000264e+02 1.737045300000000134e+04 6.059999999999999831e-01 2.689999999999999995e-05 -4.099999999999999709e-06 1.299999999999999905e-10 2.790000000000000258e-01
1.360000000000000000e+04 1.350000000000000000e+04 2.760000000000000231e-01 3.538380000000000223e+02 1.682321700000000055e+04 6.009999999999999787e-01 2.370000000000000009e-05 -3.490000000000000043e-06 9.669999999999999953e-11 2.720000000000000195e-01
1.380000000000000000e+04 1.370000000000000000e+04 2.690000000000000169e-01 3.543600000000000136e+02 1.628918200000000070e+04 5.949999999999999734e-01 2.059999999999999928e-05 -2.879999999999999954e-06 6.449999999999999699e-11 2.660000000000000142e-01
1.400000000000000000e+04 1.390000000000000000e+04 2.620000000000000107e-01 3.548860000000000241e+02 1.576812700000000041e+04 5.899999999999999689e-01 1.749999999999999847e-05 -2.389999999999999987e-06 4.260000000000000023e-11 2.590000000000000080e-01
1.420000000000000000e+04 1.410000000000000000e+04 2.560000000000000053e-01 3.554180000000000064e+02 1.525983599999999933e+04 5.839999999999999636e-01 1.439999999999999935e-05 -2.020000000000000142e-06 3.359999999999999900e-11 2.530000000000000027e-01
1.440000000000000000e+04 1.430000000000000000e+04 2.500000000000000000e-01 3.560620000000000118e+02 1.476416599999999926e+04 5.789999999999999591e-01 1.209999999999999935e-05 -1.670000000000000104e-06 2.480000000000000096e-11 2.459999999999999964e-01
1.460000000000000000e+04 1.450000000000000000e+04 2.429999999999999938e-01 3.568319999999999936e+02 1.428105199999999968e+04 5.729999999999999538e-01 1.069999999999999920e-05 -1.309999999999999951e-06 1.630000000000000123e-11 2.399999999999999911e-01
1.480000000000000000e+04 1.470000000000000000e+04 2.369999999999999885e-01 3.576089999999999804e+02 1.381034499999999935e+04 5.679999999999999494e-01 9.370000000000000074e-06 -9.599999999999999142e-07 7.959999999999999202e-12 2.340000000000000135e-01
1.500000000000000000e+04 1.490000000000000000e+04 2.310000000000000109e-01 3.583940000000000055e+02 1.335181400000000031e+04 5.620000000000000551e-01 8.009999999999999542e-06 -6.160000000000000102e-07 0.000000000000000000e+00 2.280000000000000082e-01
1.520000000000000000e+04 1.510000000000000000e+04 2.250000000000000056e-01 3.591859999999999786e+02 1.290523300000000017e+04 5.570000000000000506e-01 6.659999999999999762e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.220000000000000029e-01
1.540000000000000000e+04 1.530000000000000000e+04 2.190000000000000002e-01 3.600360000000000014e+02 1.247040600000000086e+04 5.520000000000000462e-01 5.370000000000000255e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.159999999999999976e-01
1.560000000000000000e+04 1.550000000000000000e+04 2.119999999999999940e-01 3.616120000000000232e+02 1.204755299999999988e+04 5.460000000000000409e-01 4.930000000000000232e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.089999999999999913e-01
1.580000000000000000e+04 1.570000000000000000e+04 2.059999999999999887e-01 3.632040000000000077e+02 1.163682200000000012e+04 5.410000000000000364e-01 4.500000000000000114e-06 0.000000000000000000e+00 0.000000000000000000e+00 2.030000000000000138e-01
1.600000000000000000e+04 1.590000000000000000e+04 2.000000000000000111e-01 3.648120000000000118e+02 1.123793100000000049e+04 5.350000000000000311e-01 4.069999999999999996e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.970000000000000084e-01
1.620000000000000000e+04 1.610000000000000000e+04 1.950000000000000067e-01 3.664359999999999786e+02 1.085060000000000036e+04 5.300000000000000266e-01 3.639999999999999878e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.920000000000000040e-01
1.640000000000000000e+04 1.630000000000000000e+04 1.890000000000000013e-01 3.680760000000000218e+02 1.047455600000000049e+04 5.250000000000000222e-01 3.210000000000000183e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.859999999999999987e-01
1.660000000000000000e+04 1.650000000000000000e+04 1.829999999999999960e-01 3.697330000000000041e+02 1.010953199999999924e+04 5.200000000000000178e-01 2.770000000000000161e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.799999999999999933e-01
1.680000000000000000e+04 1.670000000000000000e+04 1.769999999999999907e-01 3.732350000000000136e+02 9.756120999999999185e+03 5.140000000000000124e-01 2.609999999999999998e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.739999999999999880e-01
1.700000000000000000e+04 1.690000000000000000e+04 1.710000000000000131e-01 3.776019999999999754e+02 9.415186999999999898e+03 5.090000000000000080e-01 2.569999999999999958e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.670000000000000095e-01
1.720000000000000000e+04 1.710000000000000000e+04 1.640000000000000069e-01 3.820129999999999768e+02 9.086638999999999214e+03 5.040000000000000036e-01 2.529999999999999917e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.610000000000000042e-01
